,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
3711670,2015,8,19,3,DL,1504,N338NW,ABQ,SLC,600,555.0,-5.0,16.0,611.0,100.0,103.0,82.0,493,733.0,5.0,740,738.0,-2.0,0,0,,,,,,
5464273,2015,12,9,3,DL,1558,N386DA,TPA,LAX,643,641.0,-2.0,11.0,652.0,332.0,346.0,289.0,2158,841.0,46.0,915,927.0,12.0,0,0,,,,,,
4402318,2015,10,2,5,AA,448,N509AY,14869,11057,15,14.0,-1.0,42.0,56.0,232.0,264.0,213.0,1727,629.0,9.0,607,638.0,31.0,0,0,,31.0,0.0,0.0,0.0,0.0
4982473,2015,11,8,7,AS,454,N792AS,SEA,LAX,500,456.0,-4.0,18.0,514.0,165.0,164.0,135.0,954,729.0,11.0,745,740.0,-5.0,0,0,,,,,,
3482111,2015,8,5,3,DL,1103,N945DN,MSP,FLL,1015,1010.0,-5.0,13.0,1023.0,215.0,201.0,182.0,1487,1425.0,6.0,1450,1431.0,-19.0,0,0,,,,,,
3957847,2015,9,3,4,AA,416,N827AW,RNO,PHX,930,920.0,-10.0,12.0,932.0,102.0,99.0,84.0,601,1056.0,3.0,1112,1059.0,-13.0,0,0,,,,,,
2407008,2015,6,2,2,WN,4129,N229WN,BWI,BHM,925,927.0,2.0,9.0,936.0,125.0,114.0,102.0,682,1018.0,3.0,1030,1021.0,-9.0,0,0,,,,,,
4740494,2015,10,23,5,EV,4987,N916EV,11612,11433,1040,1035.0,-5.0,8.0,1043.0,85.0,72.0,56.0,363,1239.0,8.0,1305,1247.0,-18.0,0,0,,,,,,
2322651,2015,5,28,4,OO,5435,N964SW,PSC,SFO,600,554.0,-6.0,11.0,605.0,120.0,111.0,96.0,620,741.0,4.0,800,745.0,-15.0,0,0,,,,,,
1741544,2015,4,21,2,UA,1574,N23708,IAH,LAS,2118,2147.0,29.0,12.0,2159.0,207.0,192.0,172.0,1222,2251.0,8.0,2245,2259.0,14.0,0,0,,,,,,
3799327,2015,8,24,1,WN,2027,N288WN,MDW,RNO,1305,1302.0,-3.0,8.0,1310.0,255.0,241.0,229.0,1680,1459.0,4.0,1520,1503.0,-17.0,0,0,,,,,,
1741973,2015,4,21,2,DL,1674,N695DL,SLC,PDX,2205,2200.0,-5.0,18.0,2218.0,116.0,105.0,84.0,630,2242.0,3.0,2301,2245.0,-16.0,0,0,,,,,,
540056,2015,2,5,4,WN,436,N788SA,CMH,TPA,1525,1525.0,0.0,8.0,1533.0,140.0,131.0,118.0,829,1731.0,5.0,1745,1736.0,-9.0,0,0,,,,,,
3211840,2015,7,20,1,DL,671,N673DL,LAS,DTW,1140,1140.0,0.0,20.0,1200.0,239.0,221.0,194.0,1749,1814.0,7.0,1839,1821.0,-18.0,0,0,,,,,,
1044185,2015,3,10,2,EV,5048,N611QX,GSO,LGA,600,555.0,-5.0,17.0,612.0,86.0,90.0,63.0,461,715.0,10.0,726,725.0,-1.0,0,0,,,,,,
3536196,2015,8,8,6,OO,6477,N125SY,MIA,ORD,1243,1235.0,-8.0,31.0,1306.0,207.0,212.0,175.0,1197,1501.0,6.0,1510,1507.0,-3.0,0,0,,,,,,
4186636,2015,9,18,5,OO,6263,N982SW,FAT,SFO,905,858.0,-7.0,11.0,909.0,57.0,49.0,33.0,158,942.0,5.0,1002,947.0,-15.0,0,0,,,,,,
309477,2015,1,21,3,EV,5271,N917EV,DTW,GSO,1015,1014.0,-1.0,76.0,1130.0,105.0,154.0,76.0,460,1246.0,2.0,1200,1248.0,48.0,0,0,,48.0,0.0,0.0,0.0,0.0
5343986,2015,12,1,2,EV,5938,N34110,ORD,TUL,930,923.0,-7.0,15.0,938.0,118.0,129.0,110.0,585,1128.0,4.0,1128,1132.0,4.0,0,0,,,,,,
2838210,2015,6,27,6,WN,4054,N733SA,FLL,AUS,2035,2041.0,6.0,9.0,2050.0,175.0,163.0,148.0,1105,2218.0,6.0,2230,2224.0,-6.0,0,0,,,,,,
3412543,2015,8,1,6,WN,3335,N465WN,MSY,SAT,735,742.0,7.0,7.0,749.0,95.0,78.0,68.0,494,857.0,3.0,910,900.0,-10.0,0,0,,,,,,
59025,2015,1,4,7,DL,1189,N336NW,BWI,SLC,1815,1816.0,1.0,10.0,1826.0,295.0,291.0,277.0,1865,2103.0,4.0,2110,2107.0,-3.0,0,0,,,,,,
3199933,2015,7,19,7,AA,111,N3JPAA,ORD,LAX,1710,1829.0,79.0,22.0,1851.0,284.0,259.0,229.0,1744,2040.0,8.0,1954,2048.0,54.0,0,0,,54.0,0.0,0.0,0.0,0.0
409443,2015,1,27,2,AA,227,N490AA,DFW,MSP,2040,2031.0,-9.0,11.0,2042.0,138.0,136.0,120.0,852,2242.0,5.0,2258,2247.0,-11.0,0,0,,,,,,
1669131,2015,4,17,5,AA,1171,N3BSAA,PHX,DFW,1110,1109.0,-1.0,10.0,1119.0,145.0,130.0,114.0,868,1513.0,6.0,1535,1519.0,-16.0,0,0,,,,,,
2428454,2015,6,3,3,WN,320,N271LV,LAS,MCI,1405,1412.0,7.0,10.0,1422.0,165.0,149.0,135.0,1139,1837.0,4.0,1850,1841.0,-9.0,0,0,,,,,,
1274989,2015,3,24,2,DL,669,N929DN,LGA,MSP,740,737.0,-3.0,15.0,752.0,195.0,180.0,160.0,1020,932.0,5.0,955,937.0,-18.0,0,0,,,,,,
2288338,2015,5,26,2,NK,520,N509NK,LAS,MCI,101,211.0,70.0,18.0,229.0,163.0,165.0,137.0,1139,646.0,10.0,544,656.0,72.0,0,0,,2.0,0.0,0.0,70.0,0.0
3447232,2015,8,3,1,AA,491,N904AW,LAX,PHX,1005,1005.0,0.0,12.0,1017.0,91.0,72.0,54.0,370,1111.0,6.0,1136,1117.0,-19.0,0,0,,,,,,
2988503,2015,7,7,2,F9,769,N221FR,DEN,LAS,805,801.0,-4.0,11.0,812.0,110.0,106.0,86.0,628,838.0,9.0,855,847.0,-8.0,0,0,,,,,,
3710890,2015,8,18,2,DL,719,N911DA,ATL,MKE,2220,2245.0,25.0,17.0,2302.0,123.0,132.0,109.0,669,2351.0,6.0,2323,2357.0,34.0,0,0,,9.0,0.0,0.0,25.0,0.0
2459862,2015,6,5,5,OO,4663,N783CA,MSP,ISN,1120,1115.0,-5.0,17.0,1132.0,113.0,104.0,84.0,546,1256.0,3.0,1313,1259.0,-14.0,0,0,,,,,,
4641077,2015,10,17,6,AA,1107,N3GKAA,12953,11298,600,556.0,-4.0,18.0,614.0,236.0,234.0,197.0,1389,831.0,19.0,856,850.0,-6.0,0,0,,,,,,
1130809,2015,3,15,7,B6,701,N637JB,FLL,LAX,1130,1128.0,-2.0,22.0,1150.0,354.0,330.0,300.0,2342,1350.0,8.0,1424,1358.0,-26.0,0,0,,,,,,
23234,2015,1,2,5,OO,5605,N758SK,ASE,DEN,1423,1549.0,86.0,14.0,1603.0,54.0,61.0,35.0,125,1638.0,12.0,1517,1650.0,93.0,0,0,,7.0,0.0,20.0,66.0,0.0
2880502,2015,6,30,2,EV,5208,N740EV,DTW,MHT,1236,1235.0,-1.0,15.0,1250.0,109.0,97.0,78.0,610,1408.0,4.0,1425,1412.0,-13.0,0,0,,,,,,
3089920,2015,7,13,1,AA,36,N864AA,SFO,DFW,825,823.0,-2.0,20.0,843.0,212.0,208.0,176.0,1464,1339.0,12.0,1357,1351.0,-6.0,0,0,,,,,,
3509861,2015,8,6,4,WN,209,N210WN,LAS,SFO,2020,2141.0,81.0,25.0,2206.0,95.0,105.0,76.0,414,2322.0,4.0,2155,2326.0,91.0,0,0,,10.0,0.0,14.0,67.0,0.0
653112,2015,2,13,5,WN,320,N290WN,FLL,BWI,630,625.0,-5.0,13.0,638.0,150.0,144.0,119.0,925,837.0,12.0,900,849.0,-11.0,0,0,,,,,,
107754,2015,1,7,3,WN,3854,N7741C,BWI,ATL,1905,1905.0,0.0,11.0,1916.0,120.0,118.0,96.0,577,2052.0,11.0,2105,2103.0,-2.0,0,0,,,,,,
605226,2015,2,10,2,B6,721,N588JB,BOS,PBI,600,,,,,205.0,,,1197,,,925,,,0,1,B,,,,,
5313842,2015,11,29,7,DL,1803,N587NW,RDU,ATL,1335,1331.0,-4.0,20.0,1351.0,93.0,83.0,57.0,356,1448.0,6.0,1508,1454.0,-14.0,0,0,,,,,,
4917678,2015,11,3,2,NK,501,N531NK,MCI,LAS,1910,2004.0,54.0,11.0,2015.0,177.0,176.0,160.0,1139,2055.0,5.0,2007,2100.0,53.0,0,0,,0.0,0.0,53.0,0.0,0.0
509330,2015,2,3,2,NK,245,N514NK,ORD,LAS,1540,1536.0,-4.0,26.0,1602.0,238.0,248.0,218.0,1514,1740.0,4.0,1738,1744.0,6.0,0,0,,,,,,
1888224,2015,4,30,4,OO,5341,N917SW,DEN,RKS,2210,2155.0,-15.0,17.0,2212.0,70.0,59.0,38.0,260,2250.0,4.0,2320,2254.0,-26.0,0,0,,,,,,
5717101,2015,12,25,5,WN,2069,N705SW,PHL,MDW,1105,1100.0,-5.0,14.0,1114.0,140.0,132.0,113.0,668,1207.0,5.0,1225,1212.0,-13.0,0,0,,,,,,
4578323,2015,10,13,2,OO,5301,N976SW,13342,11292,836,1052.0,136.0,11.0,1103.0,160.0,155.0,136.0,896,1219.0,8.0,1016,1227.0,131.0,0,0,,0.0,0.0,131.0,0.0,0.0
3245460,2015,7,22,3,OO,5454,N983CA,SFO,SMF,1040,1038.0,-2.0,16.0,1054.0,51.0,42.0,22.0,86,1116.0,4.0,1131,1120.0,-11.0,0,0,,,,,,
3912648,2015,8,31,1,EV,4914,N884AS,ATL,FSM,1344,1343.0,-1.0,14.0,1357.0,111.0,101.0,83.0,579,1420.0,4.0,1435,1424.0,-11.0,0,0,,,,,,
1680970,2015,4,18,6,WN,2696,N494WN,SMF,LAX,650,649.0,-1.0,11.0,700.0,80.0,77.0,61.0,373,801.0,5.0,810,806.0,-4.0,0,0,,,,,,
5251366,2015,11,25,3,AA,1608,N3JTAA,PDX,DFW,700,651.0,-9.0,32.0,723.0,224.0,241.0,200.0,1616,1243.0,9.0,1244,1252.0,8.0,0,0,,,,,,
371245,2015,1,25,7,OO,4509,N783CA,MSP,BIS,1315,1307.0,-8.0,23.0,1330.0,88.0,100.0,73.0,386,1443.0,4.0,1443,1447.0,4.0,0,0,,,,,,
5794026,2015,12,30,3,WN,946,N954WN,DEN,LAS,935,931.0,-4.0,10.0,941.0,115.0,105.0,90.0,628,1011.0,5.0,1030,1016.0,-14.0,0,0,,,,,,
725872,2015,2,17,2,DL,2142,N925DL,EWR,ATL,1930,1927.0,-3.0,28.0,1955.0,163.0,158.0,125.0,746,2200.0,5.0,2213,2205.0,-8.0,0,0,,,,,,
4646386,2015,10,17,6,MQ,3113,N636MQ,14524,13930,1157,1207.0,10.0,10.0,1217.0,132.0,128.0,111.0,642,1308.0,7.0,1309,1315.0,6.0,0,0,,,,,,
3654558,2015,8,15,6,AA,1599,N3ECAA,DFW,SNA,1355,1353.0,-2.0,16.0,1409.0,189.0,174.0,153.0,1205,1442.0,5.0,1504,1447.0,-17.0,0,0,,,,,,
1441424,2015,4,3,5,VX,1935,N632VA,LAX,SFO,910,906.0,-4.0,10.0,916.0,80.0,69.0,54.0,337,1010.0,5.0,1030,1015.0,-15.0,0,0,,,,,,
3178344,2015,7,18,6,DL,1868,N955DN,AUS,ATL,1030,1035.0,5.0,8.0,1043.0,136.0,127.0,112.0,813,1335.0,7.0,1346,1342.0,-4.0,0,0,,,,,,
5393736,2015,12,4,5,WN,1344,N7736A,DEN,RDU,1110,1109.0,-1.0,13.0,1122.0,185.0,191.0,173.0,1436,1615.0,5.0,1615,1620.0,5.0,0,0,,,,,,
2083096,2015,5,13,3,OO,5533,N105SY,AUS,ORD,703,701.0,-2.0,14.0,715.0,169.0,165.0,125.0,978,920.0,26.0,952,946.0,-6.0,0,0,,,,,,
1428930,2015,4,2,4,OO,2770,N885AS,PHX,YUM,1340,1335.0,-5.0,35.0,1410.0,55.0,74.0,37.0,160,1447.0,2.0,1435,1449.0,14.0,0,0,,,,,,
1585719,2015,4,12,7,WN,4729,N398SW,ISP,PBI,1105,1132.0,27.0,12.0,1144.0,170.0,181.0,164.0,1052,1428.0,5.0,1355,1433.0,38.0,0,0,,38.0,0.0,0.0,0.0,0.0
5747491,2015,12,27,7,EV,2774,N629AE,DFW,MLU,1215,1233.0,18.0,31.0,1304.0,71.0,91.0,58.0,293,1402.0,2.0,1326,1404.0,38.0,0,0,,20.0,0.0,17.0,1.0,0.0
2585204,2015,6,12,5,UA,1696,,ORD,SNA,1916,,,,,256.0,,,1726,,,2132,,,0,1,A,,,,,
486081,2015,2,2,1,DL,2190,N3738B,JFK,MIA,805,803.0,-2.0,40.0,843.0,201.0,212.0,162.0,1089,1125.0,10.0,1126,1135.0,9.0,0,0,,,,,,
2274320,2015,5,25,1,UA,1934,N38458,LAX,IAD,740,738.0,-2.0,12.0,750.0,308.0,291.0,273.0,2288,1523.0,6.0,1548,1529.0,-19.0,0,0,,,,,,
793735,2015,2,22,7,DL,2128,N6710E,DTW,MCO,1015,1014.0,-1.0,18.0,1032.0,175.0,151.0,122.0,957,1234.0,11.0,1310,1245.0,-25.0,0,0,,,,,,
3066835,2015,7,11,6,WN,4244,N226WN,IAD,LAS,1820,1818.0,-2.0,14.0,1832.0,310.0,308.0,276.0,2065,2008.0,18.0,2030,2026.0,-4.0,0,0,,,,,,
3525931,2015,8,7,5,B6,640,N258JB,CLE,BOS,1857,1846.0,-11.0,13.0,1859.0,103.0,98.0,80.0,563,2019.0,5.0,2040,2024.0,-16.0,0,0,,,,,,
2427249,2015,6,3,3,WN,772,N410WN,EWR,PHX,1255,1257.0,2.0,14.0,1311.0,325.0,312.0,289.0,2133,1500.0,9.0,1520,1509.0,-11.0,0,0,,,,,,
1214914,2015,3,20,5,DL,1589,N551NW,FLL,ATL,1145,1210.0,25.0,18.0,1228.0,130.0,102.0,81.0,581,1349.0,3.0,1355,1352.0,-3.0,0,0,,,,,,
5592777,2015,12,17,4,OO,6454,N928EV,RNO,SFO,1128,1133.0,5.0,26.0,1159.0,72.0,77.0,47.0,192,1246.0,4.0,1240,1250.0,10.0,0,0,,,,,,
5355949,2015,12,2,3,WN,2941,N392SW,SEA,PHX,540,537.0,-3.0,23.0,600.0,165.0,175.0,142.0,1107,922.0,10.0,925,932.0,7.0,0,0,,,,,,
4145576,2015,9,15,2,MQ,3159,N856MQ,DFW,SJT,1650,1649.0,-1.0,15.0,1704.0,64.0,56.0,38.0,229,1742.0,3.0,1754,1745.0,-9.0,0,0,,,,,,
4331252,2015,9,27,7,UA,1098,N33203,ORD,BOS,1558,1558.0,0.0,25.0,1623.0,152.0,150.0,112.0,867,1915.0,13.0,1930,1928.0,-2.0,0,0,,,,,,
2003043,2015,5,8,5,WN,664,N8307K,LAX,HOU,630,627.0,-3.0,10.0,637.0,195.0,175.0,158.0,1390,1115.0,7.0,1145,1122.0,-23.0,0,0,,,,,,
272030,2015,1,18,7,EV,4983,N712EV,MSP,IAD,1945,1941.0,-4.0,11.0,1952.0,140.0,130.0,110.0,908,2242.0,9.0,2305,2251.0,-14.0,0,0,,,,,,
3764317,2015,8,22,6,EV,2640,N676AE,TYS,DFW,818,1043.0,145.0,14.0,1057.0,142.0,156.0,126.0,772,1203.0,16.0,940,1219.0,159.0,0,0,,14.0,0.0,145.0,0.0,0.0
2513485,2015,6,8,1,DL,1144,N960AT,EWR,ATL,1645,1702.0,17.0,32.0,1734.0,152.0,160.0,120.0,746,1934.0,8.0,1917,1942.0,25.0,0,0,,8.0,0.0,9.0,8.0,0.0
5266807,2015,11,26,4,AA,398,N3JVAA,ORD,LGA,558,552.0,-6.0,15.0,607.0,121.0,115.0,96.0,733,843.0,4.0,859,847.0,-12.0,0,0,,,,,,
1873323,2015,4,30,4,US,1801,N762US,PBI,CLT,650,650.0,0.0,12.0,702.0,113.0,104.0,88.0,590,830.0,4.0,843,834.0,-9.0,0,0,,,,,,
4252763,2015,9,22,2,MQ,3044,N646MQ,SPS,DFW,1423,1418.0,-5.0,10.0,1428.0,57.0,44.0,23.0,113,1451.0,11.0,1520,1502.0,-18.0,0,0,,,,,,
568671,2015,2,7,6,WN,3254,N356SW,CAK,MCO,1320,1320.0,0.0,8.0,1328.0,145.0,128.0,113.0,861,1521.0,7.0,1545,1528.0,-17.0,0,0,,,,,,
4555026,2015,10,11,7,AA,113,N5ECAA,13303,13204,1820,1822.0,2.0,28.0,1850.0,64.0,88.0,34.0,192,1924.0,26.0,1924,1950.0,26.0,0,0,,26.0,0.0,0.0,0.0,0.0
2703905,2015,6,19,5,OO,6342,N124SY,SAN,LAX,1951,2108.0,77.0,11.0,2119.0,53.0,45.0,25.0,109,2144.0,9.0,2044,2153.0,69.0,0,0,,0.0,0.0,0.0,69.0,0.0
195956,2015,1,13,2,WN,233,N216WR,PHX,ONT,1650,1648.0,-2.0,7.0,1655.0,70.0,66.0,56.0,325,1651.0,3.0,1700,1654.0,-6.0,0,0,,,,,,
4938226,2015,11,5,4,EV,5336,N713EV,FSM,ATL,700,656.0,-4.0,14.0,710.0,103.0,101.0,79.0,579,929.0,8.0,943,937.0,-6.0,0,0,,,,,,
4049888,2015,9,9,3,B6,759,N231JB,BOS,PHL,1209,1200.0,-9.0,22.0,1222.0,96.0,88.0,63.0,280,1325.0,3.0,1345,1328.0,-17.0,0,0,,,,,,
2760370,2015,6,23,2,F9,788,N941FR,PDX,DEN,1010,1017.0,7.0,15.0,1032.0,148.0,145.0,123.0,991,1335.0,7.0,1338,1342.0,4.0,0,0,,,,,,
3733822,2015,8,20,4,B6,589,N192JB,BOS,DCA,1100,1054.0,-6.0,19.0,1113.0,94.0,89.0,67.0,399,1220.0,3.0,1234,1223.0,-11.0,0,0,,,,,,
4094157,2015,9,12,6,AA,1760,N816AW,IAH,CLT,1010,1012.0,2.0,34.0,1046.0,150.0,161.0,113.0,912,1339.0,14.0,1340,1353.0,13.0,0,0,,,,,,
1717108,2015,4,20,1,UA,724,N768UA,HNL,SFO,1255,1256.0,1.0,20.0,1316.0,309.0,289.0,264.0,2398,2040.0,5.0,2104,2045.0,-19.0,0,0,,,,,,
3627017,2015,8,13,4,AA,1618,N3FYAA,MIA,SLC,1945,1940.0,-5.0,25.0,2005.0,313.0,312.0,284.0,2088,2249.0,3.0,2258,2252.0,-6.0,0,0,,,,,,
2104588,2015,5,14,4,US,1746,N912UY,PHL,MCO,1135,1133.0,-2.0,24.0,1157.0,150.0,141.0,112.0,861,1349.0,5.0,1405,1354.0,-11.0,0,0,,,,,,
3421504,2015,8,1,6,UA,483,N846UA,BUF,ORD,1725,1720.0,-5.0,9.0,1729.0,111.0,89.0,73.0,473,1742.0,7.0,1816,1749.0,-27.0,0,0,,,,,,
811210,2015,2,23,1,EV,4679,N11199,EWR,JAX,1126,1153.0,27.0,12.0,1205.0,157.0,142.0,126.0,820,1411.0,4.0,1403,1415.0,12.0,0,0,,,,,,
2955423,2015,7,5,7,AS,145,N532AS,ORD,ANC,945,938.0,-7.0,17.0,955.0,399.0,410.0,390.0,2846,1325.0,3.0,1324,1328.0,4.0,0,0,,,,,,
2235528,2015,5,22,5,WN,2455,N782SA,LAX,OAK,1115,1137.0,22.0,10.0,1147.0,75.0,72.0,54.0,337,1241.0,8.0,1230,1249.0,19.0,0,0,,0.0,0.0,9.0,10.0,0.0
4355742,2015,9,29,2,EV,4927,N752EV,CLE,MSP,727,726.0,-1.0,26.0,752.0,122.0,,,622,1307.0,5.0,829,1312.0,,1,0,,,,,,
2667766,2015,6,17,3,AA,2304,N4XSAA,DFW,IND,1831,2117.0,166.0,16.0,2133.0,136.0,124.0,103.0,761,16.0,5.0,2147,21.0,154.0,0,0,,0.0,0.0,0.0,154.0,0.0
1809420,2015,4,26,7,WN,3872,N526SW,HOU,DAL,900,855.0,-5.0,11.0,906.0,60.0,58.0,43.0,239,949.0,4.0,1000,953.0,-7.0,0,0,,,,,,
1726702,2015,4,21,2,DL,824,N826DN,PHX,DTW,600,555.0,-5.0,22.0,617.0,222.0,226.0,198.0,1671,1235.0,6.0,1242,1241.0,-1.0,0,0,,,,,,
5812175,2015,12,31,4,F9,584,N209FR,SLC,DEN,1210,1200.0,-10.0,9.0,1209.0,85.0,73.0,58.0,391,1307.0,6.0,1335,1313.0,-22.0,0,0,,,,,,
5796886,2015,12,30,3,WN,2803,N435WN,SAN,PHX,1225,1245.0,20.0,20.0,1305.0,70.0,70.0,45.0,304,1450.0,5.0,1435,1455.0,20.0,0,0,,0.0,0.0,7.0,13.0,0.0
5758682,2015,12,28,1,WN,3181,N616SW,CMH,BNA,640,640.0,0.0,9.0,649.0,85.0,72.0,58.0,337,647.0,5.0,705,652.0,-13.0,0,0,,,,,,
4491808,2015,10,7,3,WN,1897,N964WN,10423,13796,1700,1656.0,-4.0,15.0,1711.0,235.0,237.0,201.0,1497,1832.0,21.0,1855,1853.0,-2.0,0,0,,,,,,
2747236,2015,6,22,1,UA,201,N212UA,HNL,GUM,1420,1451.0,31.0,21.0,1512.0,460.0,458.0,432.0,3801,1824.0,5.0,1800,1829.0,29.0,0,0,,0.0,0.0,29.0,0.0,0.0
5512542,2015,12,12,6,F9,903,N939FR,TTN,FLL,700,650.0,-10.0,9.0,659.0,180.0,143.0,129.0,1026,908.0,5.0,1000,913.0,-47.0,0,0,,,,,,
3193991,2015,7,19,7,DL,444,N820DN,SLC,JFK,1110,1113.0,3.0,14.0,1127.0,285.0,270.0,220.0,1990,1707.0,36.0,1755,1743.0,-12.0,0,0,,,,,,
931148,2015,3,3,2,DL,1449,N983DL,FAY,ATL,600,554.0,-6.0,20.0,614.0,84.0,91.0,60.0,331,714.0,11.0,724,725.0,1.0,0,0,,,,,,
3956852,2015,9,3,4,B6,841,N552JB,JFK,SAV,831,829.0,-2.0,40.0,909.0,142.0,147.0,101.0,718,1050.0,6.0,1053,1056.0,3.0,0,0,,,,,,
3887761,2015,8,29,6,AA,2455,N860AA,DFW,LAX,2150,2221.0,31.0,11.0,2232.0,200.0,176.0,156.0,1235,2308.0,9.0,2310,2317.0,7.0,0,0,,,,,,
3363288,2015,7,29,3,WN,870,N629SW,STL,TUL,1005,1024.0,19.0,6.0,1030.0,70.0,63.0,53.0,351,1123.0,4.0,1115,1127.0,12.0,0,0,,,,,,
2729528,2015,6,21,7,AA,1023,N851AA,DFW,PHX,1400,1532.0,92.0,18.0,1550.0,154.0,145.0,121.0,868,1551.0,6.0,1434,1557.0,83.0,0,0,,0.0,0.0,7.0,76.0,0.0
2225988,2015,5,21,4,UA,1047,N37474,EWR,TPA,1851,1914.0,23.0,20.0,1934.0,189.0,169.0,142.0,997,2156.0,7.0,2200,2203.0,3.0,0,0,,,,,,
1918980,2015,5,3,7,DL,867,N358NW,FAR,MSP,505,459.0,-6.0,9.0,508.0,60.0,49.0,37.0,223,545.0,3.0,605,548.0,-17.0,0,0,,,,,,
4952422,2015,11,5,4,OO,7431,N885AS,SLC,PIH,2151,2143.0,-8.0,12.0,2155.0,51.0,52.0,38.0,150,2233.0,2.0,2242,2235.0,-7.0,0,0,,,,,,
305231,2015,1,21,3,UA,1121,N69839,DSM,DEN,600,555.0,-5.0,12.0,607.0,125.0,111.0,93.0,589,640.0,6.0,705,646.0,-19.0,0,0,,,,,,
1720378,2015,4,20,1,DL,1525,N698DL,ATL,BWI,1610,1607.0,-3.0,19.0,1626.0,115.0,101.0,76.0,577,1742.0,6.0,1805,1748.0,-17.0,0,0,,,,,,
5377746,2015,12,3,4,UA,1011,N33266,IAH,SAN,1125,1130.0,5.0,20.0,1150.0,213.0,198.0,176.0,1303,1246.0,2.0,1258,1248.0,-10.0,0,0,,,,,,
3730374,2015,8,20,4,DL,1662,N140LL,SAN,ATL,745,747.0,2.0,14.0,801.0,261.0,237.0,218.0,1892,1439.0,5.0,1506,1444.0,-22.0,0,0,,,,,,
1929674,2015,5,3,7,WN,1163,N772SW,MSY,HOU,1640,1638.0,-2.0,9.0,1647.0,75.0,77.0,52.0,302,1739.0,16.0,1755,1755.0,0.0,0,0,,,,,,
465807,2015,1,31,6,OO,6527,N728SK,SFO,LAS,1500,1455.0,-5.0,25.0,1520.0,99.0,107.0,73.0,414,1633.0,9.0,1639,1642.0,3.0,0,0,,,,,,
4832841,2015,10,29,4,UA,602,N74856,13204,12266,1015,1017.0,2.0,15.0,1032.0,152.0,144.0,120.0,854,1132.0,9.0,1147,1141.0,-6.0,0,0,,,,,,
